title.english,title.chinese,title.japanese,title.korean,subject.ocm,description.critical,description.text.english,description.text.japanese,description.inscription.english,description.inscription.japanese,description.ethnicity,coverage.location.country,coverage.location,format.medium,description.indicia,creator.maker,creator.company,description.citation,relation.seealso,contributor,date.original,date.artifact.upper,date.artifact.lower,date.image.upper,date.image.lower,date.search,identifier.dmrecord,format.extent,format.extant,relation.ispartof,format.digital,publisher.digital,rights.digital,creator.digital,project_name,item_number,object_url,object_url_front_jpeg,object_url_back_jpeg
"[ip0001] Chosen Customs, Set 3",[朝鲜风俗],朝鮮風俗,[조선풍속],"210 RECORDS;214 PUBLISHING;",,,,,,Korean;,Korea;,,Envelope;,"熟だ　力だ　協力だ;[1/2 divided back] 郵便はかき;[Hato Pigeon Trade Mark];",,,,,"Ikegami Naoko;Li Guo;Seo-Hyun Park;",,1933-02-14,1918-03-01,,,,,,,"East Asia Image Collection;Imperial Postcard Collection;","Master TIF image captured at 4000 pixels across the long edge using SilverFast AI 6.6 software and an Epson v700 scanner. Online display image was converted to JPG format.","Special Collections & College Archives, Skillman Library, Lafayette College","This image is posted publicly for non-profit educational use, excluding print publication. For additional information, please see http://digital.lafayette.edu/copyright for our Reproduction, Use, and Copyright Guidelines.","The East Asia Image Collection is a joint project between Paul D. Barclay, General Editor and Associate Professor of History, and Digital Scholarship Services, Skillman Library, Lafayette College.",imperial-postcards,1,https://digital.lafayette.edu/collections/eastasia/imperial-postcards/ip0001,https://digital.lafayette.edu/collections/eastasia/imperial-postcards/ip0001/front/jpg,https://digital.lafayette.edu/collections/eastasia/imperial-postcards/ip0001/back/jpg
"[ip0002] [Kisaeng Beauty]",,"朝鮮民衆風俗 名もゆかしき[illegible]を舞ぶ美人妓生","[조선민중풍속 춤추는 미녀기생]","290 CLOTHING;292 SPECIAL GARMENTS;530 ARTS;535 DANCE;","""Like Japanese geisha, these women were trained as instrumental musicians, singers, poets, calligraphers, and dancers; yet they constituted a diverse population, to whom professional rank, artistic talents, class background, regional identity, employment circumstances, and sexual accessibility to particular categories of men were of utmost importance…Nonetheless, Japanese rarely made such fine distinctions themselves and tended to overlook the kisaeng's artistry in favor of her presumed sexual prowess and availability, much as Western admirers of geisha did…Furthermore, by subjecting kisaeng to regular health inspections in order to control the spread of venereal disease, the GGC [Government-General of Chosen] effectively categorized them as sex workers and eliminated any meaningful legal or social distinction between kisaeng and ordinary prostitutes…Many kisaeng were better trained as pop chanteuses than as masters of traditional arts. Like so much else in colonial Korea, kisaeng were utterly transformed by colonial modernity…The Japanese promotion of the kisaeng as an icon of Korea was not only based on her exotic charm and erotic possibilities: it was also part of a conventional imperial strategy to rhetorically and symbolically feminize – and thereby emasculate – the colonial subject…The kisaeng represented for Japanese the Korea that most enchanted them, the authentic Korea as yet unblemished by modernity…In visual culture, the kisaeng lent her elegance and erotic glamour to enhance any setting…In essence, she represented everything many Japanese wished their Korean subjects to be"" (Atkins 2010, pp. 175-184).",,,,,Korean;,Korea;,,"Picture postcard;","CARTE POSTALE;MADE IN JAPAN;[1/2 divided back] 郵便はかき;[printed in red];",,Taisho;,,,"Ikegami Naoko;Seo-Hyun Park;",,1933-02-14,1918-03-01,,1933-02-14,,,,,"East Asia Image Collection;Imperial Postcard Collection;","Master TIF image captured at 4000 pixels across the long edge using SilverFast AI 6.6 software and an Epson v700 scanner. Online display image was converted to JPG format.","Special Collections & College Archives, Skillman Library, Lafayette College","This image is posted publicly for non-profit educational use, excluding print publication. For additional information, please see http://digital.lafayette.edu/copyright for our Reproduction, Use, and Copyright Guidelines.","The East Asia Image Collection is a joint project between Paul D. Barclay, General Editor and Associate Professor of History, and Digital Scholarship Services, Skillman Library, Lafayette College.",imperial-postcards,2,https://digital.lafayette.edu/collections/eastasia/imperial-postcards/ip0002,https://digital.lafayette.edu/collections/eastasia/imperial-postcards/ip0002/front/jpg,https://digital.lafayette.edu/collections/eastasia/imperial-postcards/ip0002/back/jpg
"[ip0003] [Bustling Market on a Village Road]",,朝鮮民衆風俗,[조선민중풍속],"360 SETTLEMENTS;363 STREETS AND TRAFFIC;440 MARKETING;443 RETAIL MARKETING;460 LABOR;482 BURDEN CARRYING;",,,白衣の中に紅緑を交へて雑閙する商埠,,,Korean;,Korea;,,"Picture postcard;","CARTE POSTALE;MADE IN JAPAN;[1/2 divided back] 郵便はかき;[printed in red];",,Taisho;,"(Yu 2009 vol. 7, p. 37)","(BMC 07-2817)","Ikegami Naoko;Seo-Hyun Park;",,1933-02-14,1918-03-01,,1933-02-14,,,,,"East Asia Image Collection;Imperial Postcard Collection;","Master TIF image captured at 4000 pixels across the long edge using SilverFast AI 6.6 software and an Epson v700 scanner. Online display image was converted to JPG format.","Special Collections & College Archives, Skillman Library, Lafayette College","This image is posted publicly for non-profit educational use, excluding print publication. For additional information, please see http://digital.lafayette.edu/copyright for our Reproduction, Use, and Copyright Guidelines.","The East Asia Image Collection is a joint project between Paul D. Barclay, General Editor and Associate Professor of History, and Digital Scholarship Services, Skillman Library, Lafayette College.",imperial-postcards,3,https://digital.lafayette.edu/collections/eastasia/imperial-postcards/ip0003,https://digital.lafayette.edu/collections/eastasia/imperial-postcards/ip0003/front/jpg,https://digital.lafayette.edu/collections/eastasia/imperial-postcards/ip0003/back/jpg
"[ip0004] [Modern Sericulture]",,朝鮮民衆風俗,[조선민중풍속],"230 ANIMAL HUSBANDRY;231 DOMESTICATED ANIMALS;460 LABOR;462 DIVISION OF LABOR BY GENDER;",,"[trans. of Japanese text]: ""These days one sees a rapid diffusion and development of female sericulture""",近時益々普及発達を見るに至りたる婦人の養蚕,,,Korean;,Korea;,,"Picture postcard;","CARTE POSTALE;MADE IN JAPAN;[1/2 divided back] 郵便はかき;[printed in red];",,Taisho;,"(Yu 2009 vol. 7, p. 52)","(BMC 07-2830)","Ikegami Naoko;Seo-Hyun Park;",,1933-02-14,1918-03-01,,1933-02-14,,,,,"East Asia Image Collection;Imperial Postcard Collection;","Master TIF image captured at 4000 pixels across the long edge using SilverFast AI 6.6 software and an Epson v700 scanner. Online display image was converted to JPG format.","Special Collections & College Archives, Skillman Library, Lafayette College","This image is posted publicly for non-profit educational use, excluding print publication. For additional information, please see http://digital.lafayette.edu/copyright for our Reproduction, Use, and Copyright Guidelines.","The East Asia Image Collection is a joint project between Paul D. Barclay, General Editor and Associate Professor of History, and Digital Scholarship Services, Skillman Library, Lafayette College.",imperial-postcards,4,https://digital.lafayette.edu/collections/eastasia/imperial-postcards/ip0004,https://digital.lafayette.edu/collections/eastasia/imperial-postcards/ip0004/front/jpg,https://digital.lafayette.edu/collections/eastasia/imperial-postcards/ip0004/back/jpg
"[ip0005] [Kisaeng Garments Rear-view]",,朝鮮民衆風俗,[조선민중풍속],"290 CLOTHING;292 SPECIAL GARMENTS;530 ARTS;535 DANCE;","Most postcards of kisaeng from the 1900-1910 period contain pictures of kisaeng who worked at the royal palace or various government offices (known as gwan'gi), highlighting their colorful robes or dance. After the gwan'gi system was abolished in 1908, images of kisaeng changed their focus to closeups of faces and physical features (Kwon 2005, pp. 231-232). Different forms of dress began to appear in photos after the 1910s (Kwon 2005, pp. 247).",,盛装を＿らしたる妓生の背面,,,Korean;,Korea;,,"Picture postcard;","CARTE POSTALE;MADE IN JAPAN;[1/2 divided back] 郵便はかき;[printed in red];",,Taisho;,"(Kwon 2005, p. 245)",,"Ikegami Naoko;Seo-Hyun Park;",,1933-02-14,1918-03-01,,1933-02-14,,,,,"East Asia Image Collection;Imperial Postcard Collection;","Master TIF image captured at 4000 pixels across the long edge using SilverFast AI 6.6 software and an Epson v700 scanner. Online display image was converted to JPG format.","Special Collections & College Archives, Skillman Library, Lafayette College","This image is posted publicly for non-profit educational use, excluding print publication. For additional information, please see http://digital.lafayette.edu/copyright for our Reproduction, Use, and Copyright Guidelines.","The East Asia Image Collection is a joint project between Paul D. Barclay, General Editor and Associate Professor of History, and Digital Scholarship Services, Skillman Library, Lafayette College.",imperial-postcards,5,https://digital.lafayette.edu/collections/eastasia/imperial-postcards/ip0005,https://digital.lafayette.edu/collections/eastasia/imperial-postcards/ip0005/front/jpg,https://digital.lafayette.edu/collections/eastasia/imperial-postcards/ip0005/back/jpg
"[ip0006] [Glamorous and Bold Sword-Dancing Kisaeng]",,朝鮮民衆風俗,[조선민중풍속],"290 CLOTHING;292 SPECIAL GARMENTS;530 ARTS;535 DANCE;",,,あだやかに勇ましき剣舞を舞はんとする妓生達,,,Korean;,Korea;,,"Picture postcard;","CARTE POSTALE;MADE IN JAPAN;[1/2 divided back] 郵便はかき;[printed in red];",,Taisho;,,,"Ikegami Naoko;Seo-Hyun Park;",,1933-02-14,1918-03-01,,1933-02-14,,,,,"East Asia Image Collection;Imperial Postcard Collection;","Master TIF image captured at 4000 pixels across the long edge using SilverFast AI 6.6 software and an Epson v700 scanner. Online display image was converted to JPG format.","Special Collections & College Archives, Skillman Library, Lafayette College","This image is posted publicly for non-profit educational use, excluding print publication. For additional information, please see http://digital.lafayette.edu/copyright for our Reproduction, Use, and Copyright Guidelines.","The East Asia Image Collection is a joint project between Paul D. Barclay, General Editor and Associate Professor of History, and Digital Scholarship Services, Skillman Library, Lafayette College.",imperial-postcards,6,https://digital.lafayette.edu/collections/eastasia/imperial-postcards/ip0006,https://digital.lafayette.edu/collections/eastasia/imperial-postcards/ip0006/front/jpg,https://digital.lafayette.edu/collections/eastasia/imperial-postcards/ip0006/back/jpg
"[ip0007] [Making Hats that all Married Men Must Wear]",,朝鮮民衆風俗,[조선민중풍속],"300 ADORNMENT;301 ORNAMENT;320 PROCESSING OF BASIC MATERIALS;460 LABOR;463 OCCUPATIONAL SPECIALIZATION;","Kat (갓), or horsehair hats, represented upper-class status in Korea as only the yangban were allowed to wear them. That, and the fact that they were carefully crafted of very thin material such as bamboo and horsehair, gave kat-makers much pride in their work. Later, they were worn by craftsmen and merchants (Cho 1996 vol. 1, p. 88).",,既婚男子に無くてはならぬ冠帽の製作,,,Korean;,Korea;,,"Picture postcard;","CARTE POSTALE;MADE IN JAPAN;[1/2 divided back] 郵便はかき;[printed in red];",,Taisho;,"(Yu 2009 vol. 7, p. 149);(Cho 1996 vol. 1, p. 88);(Kwon 2005, p. 183);(Hulbert 1906, p. 264)","(BMC 07-2912)","Ikegami Naoko;Seo-Hyun Park;",,1933-02-14,1918-03-01,,1906-01-01,,,,,"East Asia Image Collection;Imperial Postcard Collection;","Master TIF image captured at 4000 pixels across the long edge using SilverFast AI 6.6 software and an Epson v700 scanner. Online display image was converted to JPG format.","Special Collections & College Archives, Skillman Library, Lafayette College","This image is posted publicly for non-profit educational use, excluding print publication. For additional information, please see http://digital.lafayette.edu/copyright for our Reproduction, Use, and Copyright Guidelines.","The East Asia Image Collection is a joint project between Paul D. Barclay, General Editor and Associate Professor of History, and Digital Scholarship Services, Skillman Library, Lafayette College.",imperial-postcards,7,https://digital.lafayette.edu/collections/eastasia/imperial-postcards/ip0007,https://digital.lafayette.edu/collections/eastasia/imperial-postcards/ip0007/front/jpg,https://digital.lafayette.edu/collections/eastasia/imperial-postcards/ip0007/back/jpg
"[ip0008] An Old Potter",,老陶工,[노도공],"320 PROCESSING OF BASIC MATERIALS;323 CERAMIC TECHNOLOGY;460 LABOR;463 OCCUPATIONAL SPECIALIZATION;","This is a picture of an old potter. Joseon pottery was known in China and Japan for its highest quality (Cho 1996 vol. 1, pp. 87-89) Unglazed earthenware and pottery with a dark brown glaze were daily essentials in most Korean households for holding soy paste, pepper paste, kimchi, water, etc., as described in Hwang Sun-weon's novel ""Old Potter"" (Cho 1996 vol. 1, p. 47). This photograph is the model for the illustration in [ip0799].",,馬の尾で作られる高価な冠を被り、清楚な白衣を着て働くこの老陶工に見る朝鮮の昔ながらの風俗は、上品ではあるが余りにも静的でないか。,,,Korean;,Korea;,,"Picture postcard;","CARTE POSTALE;Made in Wakayama;Taisho Hato Brand;[1/2 divided back] 郵便はかき;[Hato Pigeon Trade Mark];[printed in olive];",,Taisho;,"(Yu 2009 vol. 7, p. 146)","(BMC 07-2909);[ip0799]","Ikegami Naoko;Seo-Hyun Park;",,1933-02-14,1918-03-01,,1933-02-14,,,,,"East Asia Image Collection;Imperial Postcard Collection;","Master TIF image captured at 4000 pixels across the long edge using SilverFast AI 6.6 software and an Epson v700 scanner. Online display image was converted to JPG format.","Special Collections & College Archives, Skillman Library, Lafayette College","This image is posted publicly for non-profit educational use, excluding print publication. For additional information, please see http://digital.lafayette.edu/copyright for our Reproduction, Use, and Copyright Guidelines.","The East Asia Image Collection is a joint project between Paul D. Barclay, General Editor and Associate Professor of History, and Digital Scholarship Services, Skillman Library, Lafayette College.",imperial-postcards,8,https://digital.lafayette.edu/collections/eastasia/imperial-postcards/ip0008,https://digital.lafayette.edu/collections/eastasia/imperial-postcards/ip0008/front/jpg,https://digital.lafayette.edu/collections/eastasia/imperial-postcards/ip0008/back/jpg
"[ip0009] A Strong Porter Carrying Heavy Pot",,大力の荷運人　擔軍,[지게꾼],"460 LABOR;480 TRAVEL AND TRANSPORTATION;482 BURDEN CARRYING;","The ""Customs of Joseon"" postcard series tends to stereotype Koreans according to gender and class. For example, lower-class women are often found engaging in various forms of labor such as carrying water, doing laundry, and weaving, while upper-class women are in their gama (palanquin) or on an outing with ssugaechima (cloaks) over their heads. Images of lower-class males also emphasized labor, such as carrying heavy items on their jige or working as street vendors. Upper-class males were often found in their official robes (Kwon 2005, p. 261). Jige is the name of the contraption used to carry heavy items shown in the picture. It literally means ""to burden"" or ""to put burden on."" Kkun is a suffix and indicates someone who does things, usually involved in a trade of sorts. It can take on negative connotations. For example, sagikkun = swindler or noreumkkun = gambling addict. The Japanese caption 擔軍 could be a translation word for jige-kkun as kkun sounds like gun. The earliest evidence for use of jige comes from Silla-era ceramic figures. The stock phrase ""nambu-yeodae"" meaning ""men bear loads on the back, women on the head"" indicates that the gender division of labor apparent in the postcards reflected common practices (Pratt and Rutt, 1999, pp. 45-46). Unglazed earthenware and pottery with a dark brown glaze were daily essentials in most Korean households for holding soy paste, pepper paste, kimchi, water, etc., as described in Hwang Sun-weon's novel ""Old Potter"" (Cho 1996 vol. 1, p. 47). As (Kwon 2005, p. 261) relates, this photo was reproduced in several different iterations to form the basis for diverse postcards.",,,,,Korean;,Korea;,,"Picture postcard;","CARTE POSTALE;MADE IN JAPAN;[1/2 divided back] 郵便はかき;[Hato Pigeon Trade Mark];[printed in red];",,Taisho;,"(Yu 2009 vol. 7, p. 271);(Cho 1996 vol. 1, p. 46);(Kwon 2005, p. 261)","(BMC 07-3021)","Ikegami Naoko;Seo-Hyun Park;",,1933-02-14,1918-03-01,,1933-02-14,,,,,"East Asia Image Collection;Imperial Postcard Collection;","Master TIF image captured at 4000 pixels across the long edge using SilverFast AI 6.6 software and an Epson v700 scanner. Online display image was converted to JPG format.","Special Collections & College Archives, Skillman Library, Lafayette College","This image is posted publicly for non-profit educational use, excluding print publication. For additional information, please see http://digital.lafayette.edu/copyright for our Reproduction, Use, and Copyright Guidelines.","The East Asia Image Collection is a joint project between Paul D. Barclay, General Editor and Associate Professor of History, and Digital Scholarship Services, Skillman Library, Lafayette College.",imperial-postcards,9,https://digital.lafayette.edu/collections/eastasia/imperial-postcards/ip0009,https://digital.lafayette.edu/collections/eastasia/imperial-postcards/ip0009/front/jpg,https://digital.lafayette.edu/collections/eastasia/imperial-postcards/ip0009/back/jpg
"[ip0010] Shumpozan-Hakubunji Temple, Keijo.",,京城　春畝山博文寺の麗観,"[경성 춘무산 박문사 경관]","340 STRUCTURES;346 RELIGIOUS AND EDUCATIONAL STRUCTURES;","Revised romanization: ""Gyeongseong Chunmusan Bakmunsa""",,,,,,Korea;,Seoul;,"Picture postcard;","CARTE POSTALE;Manufactured by Taisho;[1/2 divided back] 郵便はがき;[Hato Pigeon Trade Mark];",,Taisho;,"(Yu 2009 vol. 4, p. 456)","(BMC 04-1790)","Ikegami Naoko;Seo-Hyun Park;",,1945-08-15,1933-02-15,,,,,,,"East Asia Image Collection;Imperial Postcard Collection;","Master TIF image captured at 4000 pixels across the long edge using SilverFast AI 6.6 software and an Epson v700 scanner. Online display image was converted to JPG format.","Special Collections & College Archives, Skillman Library, Lafayette College","This image is posted publicly for non-profit educational use, excluding print publication. For additional information, please see http://digital.lafayette.edu/copyright for our Reproduction, Use, and Copyright Guidelines.","The East Asia Image Collection is a joint project between Paul D. Barclay, General Editor and Associate Professor of History, and Digital Scholarship Services, Skillman Library, Lafayette College.",imperial-postcards,10,https://digital.lafayette.edu/collections/eastasia/imperial-postcards/ip0010,https://digital.lafayette.edu/collections/eastasia/imperial-postcards/ip0010/front/jpg,https://digital.lafayette.edu/collections/eastasia/imperial-postcards/ip0010/back/jpg
